PERMNO,date,TICKER,PRC,VOL
14593,20170509,AAPL,153.99001,39130508
14593,20170510,AAPL,153.25999,25805692
14593,20170511,AAPL,153.95000,27255058
14593,20170512,AAPL,156.10001,32527017
14593,20170515,AAPL,155.70000,26009719
14593,20170516,AAPL,155.47000,20051023
14593,20170517,AAPL,150.25000,50786178
14593,20170518,AAPL,152.53999,33568215
14593,20170519,AAPL,153.06000,26960791
14593,20170522,AAPL,153.99001,22966447
14593,20170523,AAPL,153.80000,20020271
14593,20170524,AAPL,153.34000,19219154
14593,20170525,AAPL,153.87000,19258674
14593,20170526,AAPL,153.61000,21927637
14593,20170530,AAPL,153.67000,20126951
14593,20170531,AAPL,152.75999,24516956
14593,20170601,AAPL,153.17999,16404345
14593,20170602,AAPL,155.45000,27770715
14593,20170605,AAPL,153.92999,25331722
14593,20170606,AAPL,154.45000,26624956
14593,20170607,AAPL,155.37000,21069665
14593,20170608,AAPL,154.99001,21250808
14593,20170609,AAPL,148.98000,64882785
14593,20170612,AAPL,145.42000,72309586
14593,20170613,AAPL,146.59000,34165445
14593,20170614,AAPL,145.16000,31531632
14593,20170615,AAPL,144.28999,32165458
14593,20170616,AAPL,142.27000,50861175
14593,20170619,AAPL,146.34000,32541429
14593,20170620,AAPL,145.00999,24900069
14593,20170621,AAPL,145.87000,21265851
14593,20170622,AAPL,145.63000,19124294
14593,20170623,AAPL,146.28000,35450889
14593,20170626,AAPL,145.82001,25693361
14593,20170627,AAPL,143.73000,24761908
14593,20170628,AAPL,145.83000,22082432
14593,20170629,AAPL,143.67999,31499368
14593,20170630,AAPL,144.02000,23024114
14593,20170703,AAPL,143.50000,14277887
14593,20170705,AAPL,144.09000,21569632
14593,20170706,AAPL,142.73000,24128782
14593,20170707,AAPL,144.17999,19201712
14593,20170710,AAPL,145.06000,21207636
14593,20170711,AAPL,145.53000,19781836
14593,20170712,AAPL,145.74001,24884478
14593,20170713,AAPL,147.77000,25199373
14593,20170714,AAPL,149.03999,20133949
14593,20170717,AAPL,149.56000,23793456
14593,20170718,AAPL,150.08000,17868792
14593,20170719,AAPL,151.02000,20922969
14593,20170720,AAPL,150.34000,17243748
14593,20170721,AAPL,150.27000,26356690
14593,20170724,AAPL,152.09000,21493160
14593,20170725,AAPL,152.74001,18854072
14593,20170726,AAPL,153.46001,15782981
14593,20170727,AAPL,150.56000,32478021
14593,20170728,AAPL,149.50000,17213692
14593,20170731,AAPL,148.73000,19847980
14593,20170801,AAPL,150.05000,35394939
14593,20170802,AAPL,157.14000,69936800
14593,20170803,AAPL,155.57001,27097296
14593,20170804,AAPL,156.39000,20559852
14593,20170807,AAPL,158.81000,21870321
14593,20170808,AAPL,160.08000,36205993
14593,20170809,AAPL,161.06000,26131530
14593,20170810,AAPL,155.32001,40807281
14593,20170811,AAPL,157.48000,26258866
14593,20170814,AAPL,159.85001,22134304
14593,20170815,AAPL,161.60001,29465487
14593,20170816,AAPL,160.95000,27671612
14593,20170817,AAPL,157.86000,28313845
14593,20170818,AAPL,157.50000,27429095
14593,20170821,AAPL,157.21001,26368528
14593,20170822,AAPL,159.78000,21604588
14593,20170823,AAPL,159.98000,19461581
14593,20170824,AAPL,159.27000,19838918
14593,20170825,AAPL,159.86000,25480100
14593,20170828,AAPL,161.47000,25965972
14593,20170829,AAPL,162.91000,29734354
14593,20170830,AAPL,163.35001,27269584
14593,20170831,AAPL,164.00000,26785096
14593,20170901,AAPL,164.05000,16592851
14593,20170905,AAPL,162.08000,29537295
14593,20170906,AAPL,161.91000,21651726
14593,20170907,AAPL,161.25999,21928502
14593,20170908,AAPL,158.63000,28611535
14593,20170911,AAPL,161.50000,31580798
14593,20170912,AAPL,160.86000,71714225
14593,20170913,AAPL,159.64999,44909873
14593,20170914,AAPL,158.28000,23763043
14593,20170915,AAPL,159.88000,49114622
14593,20170918,AAPL,158.67000,28270399
14593,20170919,AAPL,158.73000,20810632
14593,20170920,AAPL,156.07001,52953923
14593,20170921,AAPL,153.39000,37571661
14593,20170922,AAPL,151.89000,46645837
14593,20170925,AAPL,150.55000,44402622
14593,20170926,AAPL,153.14000,36672157
14593,20170927,AAPL,154.23000,25504487
14593,20170928,AAPL,153.28000,22005455
14593,20170929,AAPL,154.12000,26299810
14593,20171002,AAPL,153.81000,18698842
14593,20171003,AAPL,154.48000,16230293
14593,20171004,AAPL,153.48000,20163753
14593,20171005,AAPL,155.39000,21282569
14593,20171006,AAPL,155.30000,17407558
14593,20171009,AAPL,155.84000,16272099
14593,20171010,AAPL,155.89999,15617014
14593,20171011,AAPL,156.55000,16905648
14593,20171012,AAPL,156.00000,16125154
14593,20171013,AAPL,156.99001,16394188
14593,20171016,AAPL,159.88000,24121469
14593,20171017,AAPL,160.47000,18997285
14593,20171018,AAPL,159.75999,16374164
14593,20171019,AAPL,155.98000,42584366
14593,20171020,AAPL,156.25000,23974146
14593,20171023,AAPL,156.17000,21984927
14593,20171024,AAPL,157.10001,17757230
14593,20171025,AAPL,156.41000,21207098
14593,20171026,AAPL,157.41000,17000469
14593,20171027,AAPL,163.05000,44461986
14593,20171030,AAPL,166.72000,44773986
14593,20171031,AAPL,169.03999,36051978
14593,20171101,AAPL,166.89000,33637772
14593,20171102,AAPL,168.11000,41393373
14593,20171103,AAPL,172.50000,59427353
14593,20171106,AAPL,174.25000,35026606
14593,20171107,AAPL,174.81000,24581486
14593,20171108,AAPL,176.24001,24409527
14593,20171109,AAPL,175.88000,29482932
14593,20171110,AAPL,174.67000,25152700
14593,20171113,AAPL,173.97000,16984080
14593,20171114,AAPL,171.34000,24785027
14593,20171115,AAPL,169.08000,29162972
14593,20171116,AAPL,171.10001,23637734
14593,20171117,AAPL,170.14999,21899544
14593,20171120,AAPL,169.98000,16262453
14593,20171121,AAPL,173.14000,25131295
14593,20171122,AAPL,174.96001,25588925
14593,20171124,AAPL,174.97000,14426673
14593,20171127,AAPL,174.09000,20967052
14593,20171128,AAPL,173.07001,26441478
14593,20171129,AAPL,169.48000,41670510
14593,20171130,AAPL,171.85001,41532541
14593,20171201,AAPL,171.05000,39759288
14593,20171204,AAPL,169.80000,32559985
14593,20171205,AAPL,169.64000,27650933
14593,20171206,AAPL,169.00999,28568300
14593,20171207,AAPL,169.32001,25673308
14593,20171208,AAPL,169.37000,23355231
14593,20171211,AAPL,172.67000,35273759
14593,20171212,AAPL,171.70000,19409230
14593,20171213,AAPL,172.27000,23901905
14593,20171214,AAPL,172.22000,20476641
14593,20171215,AAPL,173.97000,40171307
14593,20171218,AAPL,176.42000,29421131
14593,20171219,AAPL,174.53999,27436453
14593,20171220,AAPL,174.35001,23475649
14593,20171221,AAPL,175.00999,20949896
14593,20171222,AAPL,175.00999,16359444
14593,20171226,AAPL,170.57001,33188198
14593,20171227,AAPL,170.60001,21798213
14593,20171228,AAPL,171.08000,16480310
14593,20171229,AAPL,169.23000,26000672
14593,20180102,AAPL,172.25999,25555934
14593,20180103,AAPL,172.23000,29517900
14593,20180104,AAPL,173.03000,22434597
14593,20180105,AAPL,175.00000,23660018
14593,20180108,AAPL,174.35001,20567766
14593,20180109,AAPL,174.33000,21584957
14593,20180110,AAPL,174.28999,23970095
14593,20180111,AAPL,175.28000,18667729
14593,20180112,AAPL,177.09000,25415580
14593,20180116,AAPL,176.19000,29599936
14593,20180117,AAPL,179.10001,34387136
14593,20180118,AAPL,179.25999,31193352
14593,20180119,AAPL,178.46001,32429767
14593,20180122,AAPL,177.00000,27109541
14593,20180123,AAPL,177.03999,32689142
14593,20180124,AAPL,174.22000,51114372
14593,20180125,AAPL,171.11000,41528087
14593,20180126,AAPL,171.50999,39142861
14593,20180129,AAPL,167.96001,50649512
14593,20180130,AAPL,166.97000,46054075
14593,20180131,AAPL,167.42999,32480017
14593,20180201,AAPL,167.78000,47231571
14593,20180202,AAPL,160.50000,86594027
14593,20180205,AAPL,156.49001,72762180
14593,20180206,AAPL,163.03000,68243731
14593,20180207,AAPL,159.53999,52358204
14593,20180208,AAPL,155.14999,56390381
14593,20180209,AAPL,156.41000,71499574
14593,20180212,AAPL,162.71001,61819638
14593,20180213,AAPL,164.34000,32567631
14593,20180214,AAPL,167.37000,40644933
14593,20180215,AAPL,172.99001,51206372
14593,20180216,AAPL,172.42999,40176067
14593,20180220,AAPL,171.85001,33932378
14593,20180221,AAPL,171.07001,37472728
14593,20180222,AAPL,172.50000,31010840
14593,20180223,AAPL,175.50000,33812360
14593,20180226,AAPL,178.97000,38172285
14593,20180227,AAPL,178.39000,38935123
14593,20180228,AAPL,178.12000,37782135
14593,20180301,AAPL,175.00000,48802761
14593,20180302,AAPL,176.21001,38453839
14593,20180305,AAPL,176.82001,28406363
14593,20180306,AAPL,176.67000,23795179
14593,20180307,AAPL,175.03000,31703462
14593,20180308,AAPL,176.94000,23776107
14593,20180309,AAPL,179.98000,32185714
14593,20180312,AAPL,181.72000,32207081
14593,20180313,AAPL,179.97000,31692529
14593,20180314,AAPL,178.44000,29359877
14593,20180315,AAPL,178.64999,22743958
14593,20180316,AAPL,178.02000,39403996
14593,20180319,AAPL,175.30000,33449671
14593,20180320,AAPL,175.24001,19650550
14593,20180321,AAPL,171.27000,37054949
14593,20180322,AAPL,168.85001,41489579
14593,20180323,AAPL,164.94000,41025084
14593,20180326,AAPL,172.77000,37541166
14593,20180327,AAPL,168.34000,40916589
14593,20180328,AAPL,166.48000,43728354
14593,20180329,AAPL,167.78000,38249455
14593,20180402,AAPL,166.67999,37615961
14593,20180403,AAPL,168.39000,30277946
14593,20180404,AAPL,171.61000,34597715
14593,20180405,AAPL,172.80000,26929947
